StationID,Recurrence_Interval,Flood_Magnitude
6921200,2,10467.21535
6921200,5,16806.01114
6921200,10,20702.96636
6921200,25,25321.16337
6921200,50,28565.42746
6921200,100,31662.24332
6921350,2,3218.078898
6921350,5,3654.97738
6921350,10,3767.91633
6921350,25,3831.756476
6921350,50,3852.898263
6921350,100,3863.637839
6921590,2,11584.94078
6921590,5,19652.35903
6921590,10,26148.75696
6921590,25,34984.06786
6921590,50,41783.45222
6921590,100,48650.38946
6921720,2,10740.83902
6921720,5,15265.49708
6921720,10,18314.75229
6921720,25,22119.78007
6921720,50,24892.43246
6921720,100,27602.72574
6923500,2,2570.25302
6923500,5,4680.701813
6923500,10,6113.543825
6923500,25,7908.552462
6923500,50,9220.027404
6923500,100,10504.15013
6926000,2,48874.521
6926000,5,70233.64811
6926000,10,85472.74862
6926000,25,105055.9556
6926000,50,119607.1264
6926000,100,134003.6891
6927000,2,15780.59892
6927000,5,25845.76724
6927000,10,32704.04821
6927000,25,41312.21523
6927000,50,47609.63312
6927000,100,53780.6731
6928000,2,39704.09412
6928000,5,67397.59488
6928000,10,85291.87869
6928000,25,107114.6379
6928000,50,122765.4785
6928000,100,137909.7657
6930000,2,16321.70002
6930000,5,35472.14622
6930000,10,50368.03289
6930000,25,70314.40795
6930000,50,85522.55266
6930000,100,100800.477
6932000,2,9559.153816
6932000,5,15910.86218
6932000,10,19921.4278
6932000,25,24748.9095
6932000,50,28178.94005
6932000,100,31477.83202
